iter	Passed	Remaining
406	1415	2062
407	1418	2058
408	1421	2054
409	1425	2050
410	1428	2046
411	1434	2047
412	1437	2043
413	1443	2043
414	1448	2041
415	1452	2039
416	1456	2035
417	1460	2033
418	1464	2030
419	1467	2026
420	1471	2023
421	1475	2020
422	1480	2019
423	1484	2016
424	1489	2014
425	1492	2011
426	1496	2007
427	1499	2004
428	1502	2000
429	1506	1997
430	1511	1995
431	1514	1991
432	1518	1988
433	1522	1985
434	1526	1982
435	1529	1977
436	1531	1973
437	1534	1969
438	1537	1965
439	1540	1960
440	1544	1957
441	1547	1953
442	1550	1949
443	1553	1944
444	1555	1940
445	1559	1936
446	1562	1932
447	1565	1928
448	1568	1924
449	1571	1920
450	1575	1917
451	1578	1913
452	1581	1909
453	1584	1905
454	1587	1901
455	1591	1898
456	1595	1895
457	1599	1892
458	1603	1889
459	1608	1887
460	1611	1884
461	1615	1881
462	1619	1877
463	1623	1875
464	1626	1870
465	1629	1867
466	1632	1863
467	1635	1859
468	1639	1855
469	1642	1851
470	1645	1847
471	1648	1843
472	1651	1839
473	1654	1836
474	1657	1832
475	1660	1828
476	1663	1824
477	1666	1820
478	1670	1817
479	1673	1813
480	1676	1809
481	1679	1805
482	1682	1801
483	1685	1797
484	1688	1793
485	1691	1788
486	1694	1784
487	1698	1781
488	1701	1778
489	1704	1774
490	1707	1769
491	1710	1765
492	1714	1762
493	1717	1758
494	1719	1754
495	1722	1750
496	1725	1746
497	1728	1742
498	1732	1739
499	1735	1735
500	1739	1732
501	1742	1728
502	1746	1725
503	1749	1721
504	1752	1718
505	1756	1714
506	1759	1710
507	1763	1708
508	1766	1704
509	1772	1702
510	1775	1698
511	1778	1695
512	1781	1691
513	1784	1687
514	1787	1683
515	1790	1679
516	1793	1675
517	1796	1671
518	1799	1668
519	1802	1664
520	1805	1660
521	1809	1656
522	1812	1652
523	1814	1648
524	1817	1644
525	1820	1640
526	1822	1636
527	1826	1632
528	1829	1628
529	1832	1625
530	1835	1621
531	1838	1617
532	1842	1614
533	1845	1610
534	1848	1606
535	1851	1603
536	1854	1599
537	1859	1596
538	1862	1593
539	1866	1589
540	1869	1585
541	1872	1582
542	1875	1578
543	1878	1574
544	1881	1570
545	1884	1567
546	1888	1564
547	1892	1560
548	1895	1557
549	1898	1553
550	1902	1550
551	1906	1547
552	1909	1543
553	1912	1539
554	1916	1536
555	1920	1533
556	1923	1530
557	1927	1526
558	1930	1522
559	1933	1519
560	1937	1515
561	1940	1511
562	1943	1508
563	1946	1504
564	1949	1500
565	1953	1497
566	1956	1494
567	1960	1490
568	1963	1487
569	1967	1484
570	1970	1480
571	1973	1476
572	1977	1473
573	1980	1469
574	1985	1467
575	1988	1464
576	1991	1460
577	1994	1456
578	1998	1453
579	2001	1449
580	2004	1445
581	2007	1441
582	2010	1438
583	2013	1434
584	2017	1431
585	2020	1427
586	2022	1423
587	2025	1419
588	2028	1415
589	2031	1411
590	2034	1407
591	2036	1403
592	2039	1399
593	2042	1395
594	2045	1392
595	2048	1388
596	2051	1384
597	2054	1380
598	2057	1377
599	2060	1373
600	2063	1369
601	2066	1366
602	2068	1362
603	2071	1358
604	2074	1354
605	2078	1351
606	2081	1347
607	2084	1344
608	2088	1340
609	2091	1337
610	2094	1333
611	2097	1329
612	2100	1326
613	2103	1322
614	2107	1319
615	2111	1315
616	2114	1312
617	2117	1308
618	2120	1305
619	2124	1301
620	2127	1298
621	2130	1294
622	2133	1290
623	2136	1287
624	2139	1283
625	2142	1280
626	2145	1276
627	2149	1273
628	2153	1269
629	2156	1266
630	2159	1263
631	2162	1259
632	2165	1255
633	2168	1251
634	2172	1248
635	2174	1244
636	2177	1240
637	2180	1237
638	2183	1233
639	2186	1230
640	2189	1226
641	2192	1222
642	2195	1218
643	2197	1215
644	2200	1211
645	2204	1207
646	2206	1204
647	2209	1200
648	2212	1196
649	2215	1192
650	2218	1189
651	2221	1185
652	2223	1181
653	2226	1178
654	2229	1174
655	2232	1170
656	2235	1167
657	2238	1163
658	2241	1159
659	2244	1156
660	2247	1152
661	2249	1148
662	2256	1147
663	2260	1143
664	2263	1140
665	2266	1136
666	2269	1132
667	2272	1129
668	2274	1125
669	2277	1121
670	2280	1118
671	2283	1114
672	2286	1110
673	2288	1107
674	2291	1103
675	2294	1099
676	2296	1095
677	2300	1092
678	2303	1088
679	2305	1085
680	2309	1081
681	2311	1077
682	2314	1074
683	2317	1070
684	2320	1066
685	2322	1063
686	2325	1059
687	2329	1056
688	2332	1052
689	2334	1049
690	2338	1045
691	2341	1042
692	2344	1038
693	2347	1034
694	2350	1031
695	2353	1027
696	2356	1024
697	2362	1022
698	2366	1018
699	2369	1015
700	2372	1011
701	2376	1008
702	2379	1005
703	2382	1001
704	2386	998
705	2389	994
706	2393	991
707	2396	988
708	2399	984
709	2403	981
710	2406	978
711	2409	974
712	2412	971
713	2415	967
714	2418	964
715	2421	960
716	2425	957
717	2428	953
718	2431	950
719	2434	946
720	2437	943
721	2440	939
722	2443	936
723	2446	932
724	2449	929
725	2452	925
726	2455	922
727	2458	918
728	2462	915
729	2465	911
730	2468	908
731	2472	905
732	2475	901
733	2478	898
734	2481	894
735	2484	891
736	2488	887
737	2491	884
738	2494	880
739	2496	877
740	2499	873
741	2502	870
742	2505	866
743	2508	863
744	2511	859
745	2513	855
746	2517	852
747	2520	849
748	2523	845
749	2525	841
750	2528	838
751	2531	834
752	2534	831
753	2537	827
754	2540	824
755	2543	820
756	2545	817
757	2549	813
758	2552	810
759	2554	806
760	2557	803
761	2560	799
762	2562	796
763	2566	792
764	2569	789
765	2572	785
766	2574	782
767	2577	778
768	2581	775
769	2584	771
770	2586	768
771	2589	764
772	2592	761
773	2595	757
774	2598	754
775	2601	750
776	2603	747
777	2606	743
778	2609	740
779	2612	736
780	2615	733
781	2618	729
782	2621	726
783	2623	722
784	2626	719
785	2629	715
786	2632	712
787	2634	708
788	2637	705
789	2640	701
790	2643	698
791	2646	694
792	2648	691
793	2651	687
794	2654	684
795	2656	680
796	2659	677
797	2662	673
798	2664	670
799	2667	666
800	2670	663
801	2672	659
802	2676	656
803	2678	653
804	2681	649
805	2684	646
806	2687	642
807	2690	639
808	2693	635
809	2696	632
810	2699	629
811	2702	625
812	2706	622
813	2709	619
814	2714	616
815	2717	612
816	2720	609
817	2726	606
818	2731	603
819	2734	600
820	2738	597
821	2742	593
822	2745	590
823	2748	586
824	2750	583
825	2755	580
826	2759	577
827	2762	573
828	2765	570
829	2767	566
830	2771	563
831	2774	560
832	2776	556
833	2779	553
834	2782	549
835	2785	546
836	2788	542
837	2790	539
838	2793	536
839	2795	532
840	2798	529
841	2802	525
842	2806	522
843	2811	519
844	2817	516
845	2820	513
846	2823	510
847	2826	506
848	2834	504
849	2837	500
850	2841	497
851	2844	494
852	2847	490
853	2850	487
854	2853	483
855	2855	480
856	2858	476
857	2861	473
858	2863	470
859	2866	466
860	2869	463
861	2873	459
862	2875	456
863	2878	453
864	2881	449
865	2884	446
866	2888	443
867	2891	439
868	2894	436
869	2897	432
870	2900	429
871	2903	426
872	2906	422
873	2908	419
874	2912	416
875	2915	412
876	2919	409
877	2922	406
878	2926	402
879	2930	399
880	2934	396
881	2937	393
882	2943	390
883	2947	386
884	2950	383
885	2954	380
886	2958	376
887	2962	373
888	2965	370
889	2969	366
890	2972	363
891	2975	360
892	2978	356
893	2981	353
894	2984	350
895	2988	346
896	2992	343
897	2995	340
898	2998	336
899	3002	333
900	3006	330
901	3009	326
902	3012	323
903	3016	320
904	3020	317
905	3023	313
906	3027	310
907	3030	307
908	3034	303
909	3038	300
910	3042	297
911	3045	293
912	3048	290
913	3051	287
914	3054	283
915	3058	280
916	3061	277
917	3065	273
918	3067	270
919	3070	267
920	3073	263
921	3076	260
922	3079	256
923	3082	253
924	3085	250
925	3088	246
926	3091	243
927	3095	240
928	3097	236
929	3101	233
930	3104	230
931	3107	226
932	3110	223
933	3113	220
934	3117	216
935	3120	213
936	3123	210
937	3126	206
938	3129	203
939	3133	200
940	3136	196
941	3139	193
942	3141	189
943	3144	186
944	3148	183
945	3151	179
946	3154	176
947	3157	173
948	3160	169
949	3163	166
950	3166	163
951	3168	159
952	3171	156
953	3174	153
954	3177	149
955	3180	146
956	3182	143
957	3185	139
958	3188	136
959	3191	132
960	3195	129
961	3198	126
962	3200	122
963	3203	119
964	3206	116
965	3210	112
966	3213	109
967	3216	106
968	3219	102
969	3222	99
970	3226	96
971	3229	93
972	3232	89
973	3235	86
974	3237	83
975	3241	79
976	3244	76
977	3247	73
978	3249	69
979	3252	66
980	3255	63
981	3258	59
982	3261	56
983	3263	53
984	3266	49
985	3269	46
986	3272	43
987	3275	39
988	3278	36
989	3281	33
990	3284	29
991	3287	26
992	3290	23
993	3293	19
994	3295	16
995	3298	13
996	3301	9
997	3305	6
998	3307	3
999	3310	0
